"","year","prim_state","CBSA_Code","CBSA_name","tot_emp_school_psychologists","tot_emp_teachers_preschool","tot_emp_bus_drivers","tot_emp_administrators_elemsec","tot_emp_teachers_kindergarten","tot_emp_teachers_elementary","tot_emp_teachers_secondary","tot_emp_administrators_preschool","tot_emp_teachers_middle_school","tot_emp_teachers_other","a_mean_school_psychologists","a_mean_teachers_preschool","a_mean_bus_drivers","a_mean_administrators_elemsec","a_mean_teachers_kindergarten","a_mean_teachers_elementary","a_mean_teachers_secondary","a_mean_administrators_preschool","a_mean_teachers_middle_school","a_mean_teachers_other","a_median_school_psychologists","a_median_teachers_preschool","a_median_bus_drivers","a_median_administrators_elemsec","a_median_teachers_kindergarten","a_median_teachers_elementary","a_median_teachers_secondary","a_median_administrators_preschool","a_median_teachers_middle_school","a_median_teachers_other","tot_emp_substitute_teachers","a_mean_substitute_teachers","a_median_substitute_teachers"
"1",1999,"AK",11260,"Anchorage, AK",100,200,NA,NA,NA,NA,NA,NA,NA,NA,51300,19230,23780,NA,NA,NA,NA,NA,NA,NA,45100,18540,23450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1999,"AL",11500,"Anniston-Oxford, AL",NA,100,NA,80,NA,440,330,NA,NA,NA,30120,14300,14330,47890,33070,36020,34350,NA,NA,NA,27070,12600,13520,57690,36110,36060,33260,NA,NA,NA,NA,NA,NA
"3",1999,"AL",12220,"Auburn-Opelika, AL",NA,330,NA,90,NA,NA,310,NA,NA,NA,NA,13940,12180,52150,NA,NA,37240,NA,NA,NA,NA,13280,12670,52330,NA,NA,36960,NA,NA,NA,NA,NA,NA
"4",1999,"AL",13820,"Birmingham, AL",NA,NA,2560,310,NA,NA,NA,30,NA,NA,37250,15570,13520,62770,32320,33670,NA,40220,38160,NA,32980,14810,12770,63880,33470,33770,NA,39310,37630,NA,NA,NA,NA
"5",1999,"AL",19460,"Decatur, AL",NA,NA,NA,110,120,840,460,NA,NA,NA,NA,NA,NA,59120,36740,36520,36330,NA,36820,NA,NA,NA,NA,60610,36810,36070,36060,NA,37180,NA,NA,NA,NA
"6",1999,"AL",37120,"Ozark, AL",NA,NA,160,NA,80,750,550,NA,NA,NA,NA,NA,15720,62290,35600,36450,37920,NA,NA,NA,NA,NA,15450,63070,35370,37190,37320,NA,NA,NA,NA,NA,NA
"7",1999,"AL",22520,"Florence-Muscle Shoals, AL",NA,NA,NA,90,80,390,460,NA,530,NA,NA,NA,11980,58960,36060,35980,39260,NA,35980,NA,NA,NA,12170,60760,37210,36200,39280,NA,35820,NA,NA,NA,NA
"8",1999,"AL",23460,"Gadsden, AL",NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,12980,NA,NA,NA,NA,NA,NA,NA,NA,NA,12650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1999,"AL",26620,"Huntsville, AL",30,250,330,250,240,1120,NA,NA,NA,NA,32440,15690,12650,64770,35910,36890,NA,NA,NA,NA,29340,15190,12490,64860,35810,36530,NA,NA,NA,NA,NA,NA,NA
"10",1999,"AL",19300,"Daphne-Fairhope-Foley, AL",NA,1060,NA,NA,680,NA,NA,NA,NA,NA,NA,14100,12320,NA,29390,30070,NA,NA,NA,NA,NA,13030,12810,NA,30240,31260,NA,NA,NA,NA,NA,NA,NA
"11",1999,"AL",33860,"Montgomery, AL",NA,540,NA,240,210,1250,1800,NA,NA,NA,NA,13090,NA,42430,30840,33430,35060,NA,26200,NA,NA,12540,NA,46120,31930,33960,35490,NA,29570,NA,NA,NA,NA
"12",1999,"AL",46220,"Tuscaloosa, AL",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,49210,13250,NA,NA,38010,47100,NA,NA,NA,NA,51030,12850,NA,NA,37490,43420,NA,NA,NA,NA,NA,NA,NA
"13",1999,"AR",22220,"Fayetteville-Springdale-Rogers, AR",NA,650,380,170,NA,1170,900,100,680,NA,NA,18490,13600,57680,34580,39580,35880,29410,35740,NA,NA,19450,12380,58000,33290,37840,34900,29680,34730,NA,NA,NA,NA
"14",1999,"AR",22900,"Fort Smith, AR-OK",NA,110,320,140,200,1130,590,NA,420,NA,NA,15060,12070,56560,30050,32820,32800,NA,33190,NA,NA,13550,12400,52570,30270,32410,31880,NA,32730,NA,NA,NA,NA
