CBSA_Code,year,Employees,Establishment_entries,Job_creation_entries
10100,1998,17411,123,820
10140,1998,17896,185,1066
10180,1998,52464,369,2870
10220,1998,11124,74,820
10300,1998,30022,193,1353
10420,1998,292974,1512,13269
10460,1998,10798,98,415
10480,1998,6141,67,239
10500,1998,50711,291,2290
10540,1998,36031,239,1410
10580,1998,308840,1654,15115
10620,1998,18770,142,1113
10660,1998,11749,64,558
10700,1998,33531,195,1202
10740,1998,267710,1928,17293
10760,1998,22614,80,624
10780,1998,46446,310,2969
10820,1998,13279,108,577
10860,1998,11459,95,735
10900,1998,276550,1534,13295
10940,1998,12144,61,753
10980,1998,10649,68,473
11020,1998,51500,261,2105
11060,1998,7385,56,485
11100,1998,80149,572,4198
11140,1998,12725,77,644
11180,1998,34270,193,1748
11200,1998,43555,301,1827
11220,1998,14492,70,439
11260,1998,115621,1015,7314
11360,1998,20998,166,941
11380,1998,3085,36,349
11420,1998,21709,76,786
11460,1998,142699,734,6763
11500,1998,40104,246,2153
11540,1998,98359,443,5704
11580,1998,3912,42,270
11620,1998,16631,111,685
11660,1998,8008,47,218
11680,1998,11745,87,595
11700,1998,123122,934,6086
11740,1998,16946,82,363
11820,1998,12606,158,2117
11860,1998,5465,30,350
11900,1998,13132,94,563
11940,1998,19220,96,473
11980,1998,12763,140,805
12020,1998,52372,407,2722
12060,1998,1919799,14387,146039
12100,1998,144589,975,7009
12140,1998,21621,85,1102
12180,1998,18580,104,512
12220,1998,36941,239,1722
12260,1998,176011,1030,8319
12300,1998,41591,306,1856
12380,1998,13496,78,529
12420,1998,492122,3728,35577
12460,1998,9564,60,302
12520,1998,3930,61,229
12540,1998,142307,1076,8856
12580,1998,1005484,6278,58207
12620,1998,54415,381,2238
12660,1998,24774,125,1841
12700,1998,66805,644,3657
12740,1998,23999,195,1566
12780,1998,17014,106,661
12860,1998,17116,107,1038
12900,1998,14534,68,1200
12940,1998,272070,1700,13982
12980,1998,58100,253,2745
13020,1998,34509,185,1477
13060,1998,8302,84,2030
13100,1998,7446,45,224
13140,1998,129270,733,6922
13180,1998,30070,163,1342
13220,1998,34122,292,2843
13260,1998,14100,69,567
13300,1998,4422,46,217
13340,1998,18534,58,361
13380,1998,54730,614,3339
13420,1998,11854,82,370
13460,1998,50829,581,3155
13540,1998,15868,130,830
13660,1998,9174,70,370
13700,1998,10534,71,1168
13740,1998,56459,541,3128
13780,1998,94233,382,3628
13820,1998,448780,2659,25456
13860,1998,5628,59,282
13900,1998,40270,231,1536
13940,1998,8826,79,372
13980,1998,50276,319,1808
14010,1998,76690,328,4202
14020,1998,48848,292,2366
14100,1998,21820,123,765
14140,1998,32687,215,1669
14180,1998,17811,88,783
14220,1998,8477,58,206
14260,1998,178925,1513,11618
14300,1998,5978,43,190
14380,1998,15213,180,1257
14420,1998,7220,40,252
14460,1998,2172593,11158,108997
14500,1998,122854,1201,6876
14540,1998,50465,317,2489
14580,1998,24835,400,1723
14620,1998,14990,73,445
14660,1998,26519,275,1403
14700,1998,16920,193,1174
14710,1998,22106,155,750
14720,1998,17681,234,1272
14740,1998,46859,632,3209
14780,1998,10401,70,314
14820,1998,9293,81,551
14860,1998,409593,2572,24447
14940,1998,15043,102,3421
15020,1998,10625,68,380
15060,1998,4626,75,267
15100,1998,10503,76,427
15180,1998,79418,585,3595
15220,1998,12266,71,249
15260,1998,33603,348,2498
15340,1998,15359,75,385
15380,1998,468310,2163,19469
15420,1998,10644,102,549
15460,1998,22040,100,572
15500,1998,56594,316,2344
15540,1998,86857,567,3866
15580,1998,12527,99,878
