CBSA_Code,CSA_Code,CBSA_name,Metro_Micro,CSA_name,FIPS
10100,N/A,"Aberdeen, SD",0,N/A,46013
10100,N/A,"Aberdeen, SD",0,N/A,46045
10140,N/A,"Aberdeen, WA",0,N/A,53027
10180,101,"Abilene, TX",1,"Abilene-Sweetwater, TX",48059
10180,101,"Abilene, TX",1,"Abilene-Sweetwater, TX",48253
10180,101,"Abilene, TX",1,"Abilene-Sweetwater, TX",48441
10220,N/A,"Ada, OK",0,N/A,40123
10300,220,"Adrian, MI",0,"Detroit-Warren-Ann Arbor, MI",26091
10380,364,"Aguadilla, PR",1,"Mayagüez-Aguadilla, PR",72003
10380,364,"Aguadilla, PR",1,"Mayagüez-Aguadilla, PR",72005
10380,364,"Aguadilla, PR",1,"Mayagüez-Aguadilla, PR",72011
10380,364,"Aguadilla, PR",1,"Mayagüez-Aguadilla, PR",72071
10380,364,"Aguadilla, PR",1,"Mayagüez-Aguadilla, PR",72099
10380,364,"Aguadilla, PR",1,"Mayagüez-Aguadilla, PR",72117
10380,364,"Aguadilla, PR",1,"Mayagüez-Aguadilla, PR",72131
10420,184,"Akron, OH",1,"Cleveland-Akron-Canton, OH",39133
10420,184,"Akron, OH",1,"Cleveland-Akron-Canton, OH",39153
10460,N/A,"Alamogordo, NM",0,N/A,35035
10480,N/A,"Alamosa, CO",0,N/A,08003
10480,N/A,"Alamosa, CO",0,N/A,08021
10480,N/A,"Alamosa, CO",0,N/A,08023
10500,N/A,"Albany, GA",1,N/A,13095
10500,N/A,"Albany, GA",1,N/A,13177
10500,N/A,"Albany, GA",1,N/A,13273
10500,N/A,"Albany, GA",1,N/A,13321
10540,440,"Albany, OR",1,"Portland-Vancouver-Salem, OR-WA",41043
10580,104,"Albany-Schenectady-Troy, NY",1,"Albany-Schenectady, NY",36001
10580,104,"Albany-Schenectady-Troy, NY",1,"Albany-Schenectady, NY",36083
10580,104,"Albany-Schenectady-Troy, NY",1,"Albany-Schenectady, NY",36091
10580,104,"Albany-Schenectady-Troy, NY",1,"Albany-Schenectady, NY",36093
10580,104,"Albany-Schenectady-Troy, NY",1,"Albany-Schenectady, NY",36095
10620,172,"Albemarle, NC",0,"Charlotte-Concord, NC-SC",37167
