CBSA_Code,CBSA_name,year,Metro_Micro,total_students,diploma_recipients,enterprise_operations,food_services,instruction_expenditures,non_specified,other_non_instructional,general_admin,instr_staff_support,ops_maint,other_support,admin,transportation,student_support
10100,"Aberdeen, SD",1986-87,0,5814,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10100,"Aberdeen, SD",1987-88,0,6222,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10100,"Aberdeen, SD",1988-89,0,5703,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10100,"Aberdeen, SD",1989-90,0,5604,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10100,"Aberdeen, SD",1990-91,0,5675,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10100,"Aberdeen, SD",1991-92,0,5591,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10100,"Aberdeen, SD",1992-93,0,5801,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10100,"Aberdeen, SD",1993-94,0,5780,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10100,"Aberdeen, SD",1994-95,0,5701,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10100,"Aberdeen, SD",1995-96,0,5801,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10100,"Aberdeen, SD",1996-97,0,5763,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10100,"Aberdeen, SD",1997-98,0,5576,433,0,1338000,15832000,0,0,633000,930000,2696000,1066000,1725000,886000,1164000
10100,"Aberdeen, SD",1998-99,0,5421,411,0,1304000,16373000,0,0,933000,885000,2676000,889000,1609000,975000,1293000
10100,"Aberdeen, SD",1999-00,0,5261,431,0,1330000,16549000,0,0,771000,1318000,2722000,846000,1674000,966000,1491000
10100,"Aberdeen, SD",2000-01,0,5138,386,0,1446000,17056000,0,0,807000,1648000,3048000,1148000,1765000,1039000,1509000
10100,"Aberdeen, SD",2001-02,0,5130,389,0,1496000,17084000,0,0,923000,1593000,2968000,1214000,1617000,1161000,1610000
10100,"Aberdeen, SD",2002-03,0,5057,356,0,1545000,17958000,0,0,942000,1414000,2940000,1178000,1654000,953000,1646000
10100,"Aberdeen, SD",2003-04,0,5080,374,0,1543000,18681000,0,0,977000,1698000,3118000,1272000,1580000,956000,2000000
10100,"Aberdeen, SD",2004-05,0,5524,384,0,1895000,21679000,0,0,1140000,1713000,3774000,1367000,1865000,1281000,2421000
10100,"Aberdeen, SD",2005-06,0,5547,381,0,1873000,22454000,0,0,1242000,1639000,4134000,1367000,1885000,1359000,2396000
10100,"Aberdeen, SD",2006-07,0,5509,370,0,1923000,23142000,0,0,1299000,1769000,4311000,1358000,1965000,1294000,2382000
10100,"Aberdeen, SD",2007-08,0,5474,390,0,2105000,24461000,0,0,1257000,1665000,4590000,1083000,2026000,1391000,2500000
10100,"Aberdeen, SD",2008-09,0,5678,371,0,2286000,25582000,0,0,1254000,1820000,4762000,1516000,2104000,1389000,2637000
10100,"Aberdeen, SD",2009-10,0,5656,389,0,2343000,27374000,0,0,1209000,1553000,4547000,1507000,2220000,1369000,2985000
10100,"Aberdeen, SD",2010-11,0,5715,NA,0,2436000,28375000,0,0,1323000,1464000,4611000,1440000,2213000,1527000,2778000
10100,"Aberdeen, SD",2011-12,0,5763,NA,0,2588000,26757000,0,0,1084000,1423000,4479000,1380000,2212000,1362000,3058000
10100,"Aberdeen, SD",2012-13,0,5941,NA,0,2644000,27415000,0,0,1168000,1539000,4685000,1468000,2262000,1427000,3237000
10100,"Aberdeen, SD",2013-14,0,6014,NA,0,2739000,28437000,0,0,1299000,1842000,4884000,1631000,2412000,1485000,3245000
10100,"Aberdeen, SD",2014-15,0,6102,NA,0,2856000,29501000,0,0,1297000,1632000,5057000,1749000,2470000,1914000,3520000
10100,"Aberdeen, SD",2015-16,0,6205,NA,12000,2926000,31460000,0,0,1253000,1600000,5379000,2084000,2685000,1768000,3597000
10100,"Aberdeen, SD",2016-17,0,6348,NA,8000,3038000,35521000,0,0,1337000,1780000,5988000,1986000,3033000,1901000,3754000
10100,"Aberdeen, SD",2017-18,0,6311,NA,7000,2915000,36782000,0,0,1612000,1795000,6047000,1996000,3089000,1956000,3660000
10100,"Aberdeen, SD",2018-19,0,6273,409,7000,2997000,37355000,0,0,1640000,1831000,6091000,2033000,3151000,1965000,3806000
10100,"Aberdeen, SD",2019-20,0,NA,NA,4000,3133000,37409000,0,0,1729000,1936000,5890000,1893000,3210000,1758000,3798000
10100,"Aberdeen, SD",2020-21,0,NA,NA,16000,3390000,39245000,0,0,1822000,2028000,6414000,1937000,3315000,1921000,3948000
10100,"Aberdeen, SD",2021-22,0,NA,NA,14000,3719000,40116000,0,0,1768000,2495000,6503000,2306000,3414000,2164000,3994000
10100,"Aberdeen, SD",2022-23,0,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10140,"Aberdeen, WA",1986-87,0,12253,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10140,"Aberdeen, WA",1987-88,0,12240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10140,"Aberdeen, WA",1988-89,0,12580,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10140,"Aberdeen, WA",1989-90,0,12584,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10140,"Aberdeen, WA",1990-91,0,12980,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10140,"Aberdeen, WA",1991-92,0,13209,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10140,"Aberdeen, WA",1992-93,0,13802,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10140,"Aberdeen, WA",1993-94,0,13856,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
