GeoFips;GeoName;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
10100;Aberdeen, SD (Micropolitan Statistical Area);1268985;1390047;1471113;1508087;1575960;1548604;1777029;1905655;1816505;1851678;2138378;2163493;2466400;2416943;2417765;2350828;2267869;2545513;2423280;2699958;3112942;3439940;3462481
10140;Aberdeen, WA (Micropolitan Statistical Area);1526763;1593260;1711880;1868700;2022070;2141991;2263376;2243945;2242538;2290617;2216847;2184044;2223661;2298626;2405258;2397482;2441663;2548014;2697837;2642030;3108656;3442875;3660246
10220;Ada, OK (Micropolitan Statistical Area);801838;894577;914075;959727;1094779;1202363;1305092;1490089;1401412;1507738;1688494;1648097;1706082;1729558;1701353;1796680;1878007;2017252;2100430;2108583;2315705;2564945;2689389
10300;Adrian, MI (Micropolitan Statistical Area);2183830;2325552;2504643;2483002;2540971;2548317;2542935;2427756;2277239;2417349;2525891;2567979;2630185;2664567;2839590;2947634;2925613;3171011;3051416;3200350;3554984;3938601;4201917
10460;Alamogordo, NM (Micropolitan Statistical Area);1525723;1665316;1754628;1868723;1935987;2053974;2111378;2157680;2234795;2482459;2597622;2607843;2602211;2590536;2624465;2692504;2683571;2783795;2858197;2984341;3185945;3423019;3581645
10620;Albemarle, NC (Micropolitan Statistical Area);1173809;1191673;1203740;1291990;1392163;1417358;1385425;1375522;1348760;1414019;1450030;1578057;1624002;1629688;1673208;1759105;1821812;1860754;1901257;1879727;2089214;2341623;2554102
10660;Albert Lea, MN (Micropolitan Statistical Area);739216;789595;807500;856938;877528;923589;964468;979092;968039;1035362;1132564;1165340;1270943;1180807;1201219;1200142;1228317;1215088;1277949;1295645;1493539;1646419;1673550
10700;Albertville, AL (Micropolitan Statistical Area);1990736;2024321;2112008;2342917;2433689;2466805;2567434;2519041;2501553;2556637;2638704;2806793;3033614;3003533;3258414;3286348;3469332;3616017;3745928;3765875;4190668;4658889;4896602
10760;Alexander City, AL (Micropolitan Statistical Area);920036;883655;950974;1079803;1199931;1109114;1123290;1087318;1052066;1172096;1249265;1307431;1317585;1373808;1476455;1569025;1504064;1578458;1680584;1610996;1762236;1917544;1988254
10820;Alexandria, MN (Micropolitan Statistical Area);965063;1045166;1098257;1209037;1262009;1326525;1374855;1551929;1598850;1676800;1725490;1881005;1913918;1792807;1926597;2003707;1902245;1979134;2065398;2094421;2336951;2518850;2659448
10860;Alice, TX (Micropolitan Statistical Area);1343152;1321717;1589565;1763051;1997953;2198336;2440249;2853413;2034730;2219818;2655853;3018005;3001399;3087838;2314231;1734813;1921874;2196489;2220829;1685628;1834972;2125613;2251367
10940;Alma, MI (Micropolitan Statistical Area);794343;874677;837574;936954;1005750;990486;1037013;1087471;1034549;1059824;1186555;1257590;1280445;1277750;1251750;1217774;1294516;1388298;1388940;1516124;1672657;1881510;1988400
10980;Alpena, MI (Micropolitan Statistical Area);773190;795240;812007;867497;919425;918524;917204;893976;910560;973704;1026901;969248;1007310;1020372;1063517;1047008;1056755;1076870;1118564;1128840;1251747;1369723;1504938
11060;Altus, OK (Micropolitan Statistical Area);673720;714198;789722;794472;821435;828916;845773;939372;890553;914929;922903;924004;946389;1068690;980018;1000998;1037503;1037344;1120323;1141922;1240257;1398403;1473951
11140;Americus, GA (Micropolitan Statistical Area);908498;898500;919881;938799;964673;994225;1024842;989386;983704;1011529;1070535;1115795;1152072;1099722;1127993;1109397;1143188;1178029;1212591;1223751;1259443;1456866;1441276
11220;Amsterdam, NY (Micropolitan Statistical Area);1137641;1177509;1250805;1275013;1317861;1356026;1444251;1467963;1507621;1571612;1525326;1583136;1655816;1689779;1696152;1802042;1854588;1931304;2022963;1980213;2132925;2383580;2509562
