GeoFips;GeoName;LineCode;Description;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
10180;Abilene, TX (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);5286630;5342042;5438921;5565831;5692062;6126025;6338833;6397914;6249007;6487399;6537181;6732935;6834707;6955561;6827936;6686943;6827152;7141273;7455255;7387697;7603626;8006032;8270864
10180;Abilene, TX (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;77.435;78.247;79.666;81.525;83.374;89.730;92.847;93.713;91.532;95.023;95.753;98.620;100.111;101.881;100.011;97.946;100.000;104.601;109.200;108.211;111.373;117.268;121.147
10180;Abilene, TX (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);3716716;3831060;4028398;4260591;4531865;5050386;5394366;5619365;5494157;5796673;5962397;6249717;6462183;6700756;6632435;6576472;6827152;7301986;7792209;7891821;8503702;9606966;10306623
10420;Akron, OH (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);30570431;31915076;33064642;33703560;34562361;34159207;34801508;34677830;32495789;33289652;33366153;33664676;34425311;35267685;35587178;35715828;36424857;36883382;37473869;36128928;37703119;37672860;38081735
10420;Akron, OH (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;83.927;87.619;90.775;92.529;94.887;93.780;95.543;95.204;89.213;91.393;91.603;92.422;94.510;96.823;97.700;98.053;100.000;101.259;102.880;99.188;103.509;103.426;104.549
10420;Akron, OH (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);22409804;23803428;25017817;26186388;27619838;28185040;29484399;29912418;28764719;29581666;30090713;31046118;32306807;33594178;34675465;35297434;36424857;37615672;39034785;38407315;41567461;44539393;47285487
10500;Albany, GA (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);5949216;6008442;6037163;6100758;6213286;6056539;5922264;5807549;5750321;5580803;5706573;5761812;5771682;5662279;5631247;5726021;5693673;5702355;5836949;5746053;6027659;6121212;6180188
10500;Albany, GA (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;104.488;105.528;106.033;107.150;109.126;106.373;104.015;102.000;100.995;98.018;100.227;101.197;101.370;99.449;98.904;100.568;100.000;100.152;102.516;100.920;105.866;107.509;108.545
10500;Albany, GA (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);4233185;4366871;4457677;4603632;4797494;4829401;4869891;4878911;4946539;4864112;5066886;5238167;5359051;5360789;5453903;5642543;5693673;5823243;6099135;6154078;6776340;7351145;7782093
10540;Albany-Lebanon, OR (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);3603456;3814373;3675279;3959887;4051086;4304354;4026866;3936444;3876850;3843299;3880062;3921929;3993713;4116391;4318476;4575970;4505965;4802294;4930998;4822572;4907036;5043047;5130128
10540;Albany-Lebanon, OR (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;79.971;84.652;81.565;87.881;89.905;95.526;89.367;87.361;86.038;85.294;86.109;87.039;88.632;91.354;95.839;101.554;100.000;106.576;109.433;107.026;108.901;111.919;113.852
10540;Albany-Lebanon, OR (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);2670480;2863059;2807930;3179613;3308026;3641980;3526642;3508307;3440638;3461937;3546439;3630458;3752211;3961462;4188777;4460062;4505965;4955241;5142195;5080986;5586729;6177586;6441520
10580;Albany-Schenectady-Troy, NY (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);47437230;48101630;49676809;50657787;50908466;51466086;51668884;52477717;53495052;53969868;54394078;54571023;55520393;56398124;58040524;59466852;61024034;61119269;63778650;62655818;67674323;67717208;69401141
10580;Albany-Schenectady-Troy, NY (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;77.735;78.824;81.405;83.013;83.424;84.337;84.670;85.995;87.662;88.440;89.136;89.425;90.981;92.420;95.111;97.448;100.000;100.156;104.514;102.674;110.898;110.968;113.728
10580;Albany-Schenectady-Troy, NY (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);33498379;34724015;36607149;38364346;39717674;41532473;42849341;44326933;46358000;47164685;48216807;49401208;51351856;53342351;56223753;58525066;61024034;62555399;66600347;67056531;75038331;79477183;84910398
10740;Albuquerque, NM (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);31949682;32556088;35758151;41416431;41006651;41740379;41417919;40809673;42298283;41851011;41033001;40418820;39726620;40534164;41038769;41719773;41881258;42671307;43920456;43329662;45653922;47447327;48602526
10740;Albuquerque, NM (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;76.286;77.734;85.380;98.890;97.912;99.664;98.894;97.441;100.996;99.928;97.975;96.508;94.855;96.784;97.988;99.614;100.000;101.886;104.869;103.458;109.008;113.290;116.048
10740;Albuquerque, NM (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);26188261;27019150;29779963;34694517;34723797;35858401;36093381;35901024;37871282;37517085;37141103;37226566;37168845;38596659;39874733;41152484;41881258;43567309;45784413;46285238;50306425;55286557;59382941
10780;Alexandria, LA (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);5135940;5323808;5390946;5652163;6006625;6019344;5773629;5785386;5964246;6088048;6118976;6141512;6125289;6128956;5990445;6109568;6081708;6161095;6158801;5997466;6160094;6019646;6085726
10780;Alexandria, LA (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;84.449;87.538;88.642;92.937;98.765;98.975;94.934;95.128;98.069;100.104;100.613;100.983;100.717;100.777;98.499;100.458;100.000;101.305;101.268;98.615;101.289;98.980;100.066
10780;Alexandria, LA (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);3539187;3725502;3886159;4215934;4648120;4831439;4777722;4900767;5168394;5328730;5459913;5595763;5707767;5843996;5810553;6003967;6081708;6312319;6439942;6447733;7094723;7458386;7753574
10900;Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);45322830;45212235;41509141;38482366;38727700;38111986;39886392;40386178;39090940;40207637;40483258;40861586;41318333;41968278;42867530;44009635;44541436;44764523;46548544;44640909;46296228;47283842;49056765
10900;Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;101.754;101.506;93.192;86.397;86.948;85.565;89.549;90.671;87.763;90.270;90.889;91.738;92.764;94.223;96.242;98.806;100.000;100.501;104.506;100.223;103.940;106.157;110.137
10900;Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);33603526;34008952;31610557;30027086;31092284;31603485;33954032;35066205;35035102;36115327;36883410;38001713;38922845;40139121;41844921;43489631;44541436;45594626;48318922;47150879;50706922;55053075;59890990
11020;Altoona, PA (Metropolitan Statistical Area);1;Real GDP (thousands of chained 2017 dollars);5000013;4981865;5117548;5319910;5438855;5525970;5466313;5471724;5465177;5572848;5554266;5495715;5576289;5608926;5702495;5795705;5849536;5944931;6081711;5906303;6124259;6113273;6198024
11020;Altoona, PA (Metropolitan Statistical Area);2;Chain-type quantity indexes for real GDP;85.477;85.167;87.486;90.946;92.979;94.469;93.449;93.541;93.429;95.270;94.952;93.951;95.329;95.887;97.486;99.080;100.000;101.631;103.969;100.970;104.696;104.509;105.958
11020;Altoona, PA (Metropolitan Statistical Area);3;Current-dollar GDP (thousands of current dollars);3631369;3683374;3832197;4098177;4304840;4530731;4612628;4719367;4847408;4974602;5043764;5092472;5251589;5363527;5558760;5718753;5849536;6058725;6329804;6279352;6800618;7247654;7681160
