CBSA_code,CBSA_name,year,Personal income (thousands of dollars),Population (persons),Per capita personal income (dollars),Net earnings by place of residence (thousands of dollars),Per capita net earnings (dollars),Per capita personal current transfer receipts (dollars),Per capita income maintenance benefits (dollars),Per capita unemployment insurance compensation (dollars),Per capita retirement and other (dollars),"Per capita dividends, interest, and rent (dollars)",Real GDP (thousands of chained 2017 dollars),Chain-type quantity indexes for real GDP,Current-dollar GDP (thousands of current dollars)
10180,"Abilene, TX",1969,397478,125138,3176,297615,2378,288,20,3,265,510,NA,NA,NA
10180,"Abilene, TX",1970,445225,122505,3634,327407,2673,340,24,4,311,622,NA,NA,NA
10180,"Abilene, TX",1971,476061,124841,3813,347470,2783,378,24,7,346,652,NA,NA,NA
10180,"Abilene, TX",1972,541293,128517,4212,397906,3096,407,22,6,379,709,NA,NA,NA
10180,"Abilene, TX",1973,581519,127533,4560,417336,3272,494,22,4,468,794,NA,NA,NA
10180,"Abilene, TX",1974,655804,128625,5099,459696,3574,574,43,5,526,951,NA,NA,NA
10180,"Abilene, TX",1975,771668,131031,5889,540643,4126,677,48,13,616,1086,NA,NA,NA
10180,"Abilene, TX",1976,852803,133379,6394,601789,4512,727,51,13,663,1155,NA,NA,NA
10180,"Abilene, TX",1977,926754,133052,6965,654348,4918,774,48,19,706,1274,NA,NA,NA
10180,"Abilene, TX",1978,1062407,134462,7901,751482,5589,849,47,22,780,1463,NA,NA,NA
10180,"Abilene, TX",1979,1210008,136601,8858,858647,6286,929,53,17,858,1644,NA,NA,NA
10180,"Abilene, TX",1980,1397182,140098,9973,973239,6947,1034,67,11,956,1993,NA,NA,NA
10180,"Abilene, TX",1981,1681458,143310,11733,1173274,8187,1136,67,10,1059,2411,NA,NA,NA
10180,"Abilene, TX",1982,1804667,148899,12120,1213963,8153,1216,60,28,1129,2751,NA,NA,NA
10180,"Abilene, TX",1983,1890846,152939,12363,1247722,8158,1291,61,38,1192,2914,NA,NA,NA
10180,"Abilene, TX",1984,2009206,153587,13082,1314748,8560,1371,63,28,1280,3150,NA,NA,NA
10180,"Abilene, TX",1985,2138379,153470,13934,1378456,8982,1467,68,36,1363,3485,NA,NA,NA
10180,"Abilene, TX",1986,2128401,155031,13729,1361687,8783,1590,81,77,1432,3355,NA,NA,NA
10180,"Abilene, TX",1987,2090408,153655,13605,1321105,8598,1694,99,69,1525,3313,NA,NA,NA
10180,"Abilene, TX",1988,2186912,150042,14575,1386934,9244,1810,120,45,1645,3522,NA,NA,NA
10180,"Abilene, TX",1989,2271782,149324,15214,1392828,9328,1944,147,40,1757,3942,NA,NA,NA
10180,"Abilene, TX",1990,2324194,147834,15722,1448882,9801,2171,179,42,1950,3750,NA,NA,NA
10180,"Abilene, TX",1991,2385186,147400,16182,1475585,10011,2428,212,46,2170,3743,NA,NA,NA
10180,"Abilene, TX",1992,2539683,149917,16941,1586249,10581,2723,247,77,2399,3637,NA,NA,NA
10180,"Abilene, TX",1993,2664760,152909,17427,1653658,10815,2806,258,72,2476,3806,NA,NA,NA
10180,"Abilene, TX",1994,2721192,153779,17695,1703155,11075,2989,277,48,2665,3631,NA,NA,NA
10180,"Abilene, TX",1995,2911786,156097,18654,1791542,11477,3210,302,45,2864,3966,NA,NA,NA
10180,"Abilene, TX",1996,3100216,156351,19829,1915565,12252,3424,328,45,3051,4153,NA,NA,NA
10180,"Abilene, TX",1997,3324250,157405,21119,2098390,13331,3565,332,38,3195,4223,NA,NA,NA
10180,"Abilene, TX",1998,3472112,158264,21939,2188195,13826,3581,332,38,3211,4532,NA,NA,NA
10180,"Abilene, TX",1999,3609231,159755,22592,2309470,14456,3668,342,43,3283,4468,NA,NA,NA
10180,"Abilene, TX",2000,3699665,160288,23081,2313862,14436,3788,343,35,3410,4857,NA,NA,NA
10180,"Abilene, TX",2001,3781370,158917,23795,2352499,14803,4129,352,43,3734,4862,5286630,77.435,3716716
10180,"Abilene, TX",2002,3951625,159012,24851,2469665,15531,4446,406,66,3974,4874,5342042,78.247,3831060
10180,"Abilene, TX",2003,4201840,158810,26458,2627519,16545,4745,455,111,4179,5169,5438921,79.666,4028398
10180,"Abilene, TX",2004,4389872,160156,27410,2783711,17381,4960,485,70,4406,5068,5565831,81.525,4260591
10180,"Abilene, TX",2005,4626074,160761,28776,2906783,18081,5366,542,51,4774,5328,5692062,83.374,4531865
10180,"Abilene, TX",2006,4914261,161389,30450,3130365,19396,5627,532,46,5049,5426,6126025,89.73,5050386
10180,"Abilene, TX",2007,5173944,162023,31933,3214551,19840,6117,547,46,5524,5976,6338833,92.847,5394366
10180,"Abilene, TX",2008,5724861,162508,35228,3468878,21346,6680,595,69,6016,7202,6397914,93.713,5619365
10180,"Abilene, TX",2009,5488615,163888,33490,3278819,20006,7109,677,201,6232,6374,6249007,91.532,5494157
