GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",397478,445225,476061,541293,581519,655804,771668,852803,926754,1062407,1210008,1397182,1681458,1804667,1890846,2009206,2138379,2128401,2090408,2186912,2271782,2324194,2385186,2539683,2664760,2721192,2911786,3100216,3324250,3472112,3609231,3699665,3781370,3951625,4201840,4389872,4626074,4914261,5173944,5724861,5488615,5787829,6150171,6416566,6596716,7042550,6840205,6745585,6982977,7444071,7896539,8464471,9246325,9614514,10175211
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",125138,122505,124841,128517,127533,128625,131031,133379,133052,134462,136601,140098,143310,148899,152939,153587,153470,155031,153655,150042,149324,147834,147400,149917,152909,153779,156097,156351,157405,158264,159755,160288,158917,159012,158810,160156,160761,161389,162023,162508,163888,165680,167102,168296,168689,169942,171666,172344,173029,174118,175288,176883,177831,179665,181591
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3176,3634,3813,4212,4560,5099,5889,6394,6965,7901,8858,9973,11733,12120,12363,13082,13934,13729,13605,14575,15214,15722,16182,16941,17427,17695,18654,19829,21119,21939,22592,23081,23795,24851,26458,27410,28776,30450,31933,35228,33490,34934,36805,38127,39106,41441,39846,39140,40357,42753,45049,47854,51995,53514,56034
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2720989,2838776,2990538,3263561,3568727,3882656,4114360,4425010,4944761,5471768,6012640,6610014,7239766,7571663,7989627,8692790,9205265,9631902,10060671,10763469,11727838,12392348,12709715,13565559,14168305,15051438,15976000,16791980,17738166,18868855,19462197,20616520,21031173,21350531,22186488,23032227,23617474,24551474,25752899,26977431,26085638,26772180,27986319,28861419,29308703,30554060,31480258,31999528,33213211,34556035,35804941,38154030,41500543,41577694,43932157
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",676214,679077,679231,677046,676196,670284,672844,667910,662233,658517,660364,660334,658870,656126,653968,651917,648457,646647,647810,652814,655626,658654,664478,669752,674114,678063,682146,687264,689461,691039,693125,695946,698108,699533,701139,701811,702498,702433,703423,703300,703361,703057,703260,702223,703776,705090,704604,703787,704133,703815,703235,701674,696512,697511,698398
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4024,4180,4403,4820,5278,5793,6115,6625,7467,8309,9105,10010,10988,11540,12217,13334,14196,14895,15530,16488,17888,18815,19127,20255,21018,22198,23420,24433,25728,27305,28079,29624,30126,30521,31643,32818,33619,34952,36611,38358,37087,38080,39795,41100,41645,43334,44678,45468,47169,49098,50915,54376,59583,59609,62904
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",321140,372190,424311,480038,555071,572953,601973,669194,731117,843252,944315,1053833,1201313,1270280,1352587,1507538,1584815,1652994,1707198,1835700,1964930,2093753,2234346,2343315,2453561,2679818,2825546,3004881,3096010,3220281,3307061,3439063,3516326,3657100,3789938,3883626,4011286,4101968,4271823,4453056,4547666,4675748,4997587,5007993,4950163,5074474,5148474,5207442,5314358,5439642,5673123,6236991,6807350,6816509,7063798
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",120767,123598,127456,131775,133860,130309,131861,134378,137462,138191,140660,142986,144771,145744,145846,146534,147235,146612,145828,144961,144058,143025,144169,146343,148122,149356,150100,151596,152692,153449,153555,153585,153730,153024,152790,152887,152919,153535,153661,153823,154409,154236,154976,154747,153779,153388,152164,151207,150557,150605,149667,148249,144933,145796,145508
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2659,3011,3329,3643,4147,4397,4565,4980,5319,6102,6713,7370,8298,8716,9274,10288,10764,11275,11707,12663,13640,14639,15498,16012,16564,17942,18824,19822,20276,20986,21537,22392,22873,23899,24805,25402,26231,26717,27800,28949,29452,30316,32247,32362,32190,33083,33835,34439,35298,36119,37905,42071,46969,46754,48546
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",225174,242957,268934,298356,345781,396139,430189,496928,561977,626200,692148,763606,833954,857929,904701,970857,1012539,1055277,1117016,1246927,1342550,1415247,1494771,1587733,1698486,1797356,1917693,2088151,2156851,2216809,2264510,2351714,2563022,2642147,2705019,2888589,2998178,3270997,3421818,3554002,3553514,3693143,3811233,3920700,3971148,4245071,4526077,4743153,5016945,5415982,5655302,6195300,6796107,7069641,7497375
