GeoFIPS;GeoName;Region;TableName;LineCode;IndustryClassification;Description;Unit;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
"""10100""";Aberdeen, SD (Micropolitan Statistical Area); ;CAINC1;1;...;Personal income (thousands of dollars) ;Thousands of dollars;134265;146833;163836;185275;226164;230361;258050;251851;279005;319401;357649;370443;419647;439707;468153;525924;532645;554719;579404;593937;646162;698311;728673;780745;829832;859650;896365;973362;988300;1046971;1062882;1127417;1178785;1174324;1240125;1366454;1444263;1496905;1640022;1750018;1629542;1672397;1937810;1990715;2135288;2127717;2177751;2123680;2127969;2274949;2297615;2591884;3047668;3218084;3227963
"""10100""";Aberdeen, SD (Micropolitan Statistical Area); ;CAINC1;2;...;Population (persons) 1/;Number of persons;42064;42598;43316;43722;43615;44015;43419;42996;42909;42929;41731;42146;42148;41960;41497;41464;41406;41319;41221;40970;40448;39873;39906;40098;40308;40427;40567;40667;40454;40202;40072;39825;39602;39417;39419;39440;39569;39604;39847;39915;40219;40712;40928;41508;42055;42093;42239;42590;42980;42650;42399;42213;42151;41972;41790
"""10100""";Aberdeen, SD (Micropolitan Statistical Area); ;CAINC1;3;...;Per capita personal income (dollars) 2/;Dollars;3192;3447;3782;4238;5185;5234;5943;5858;6502;7440;8570;8790;9957;10479;11282;12684;12864;13425;14056;14497;15975;17513;18260;19471;20587;21264;22096;23935;24430;26043;26524;28309;29766;29792;31460;34646;36500;37797;41158;43844;40517;41079;47347;47960;50774;50548;51558;49863;49511;53340;54190;61400;72304;76672;77242
"""10140""";Aberdeen, WA (Micropolitan Statistical Area); ;CAINC1;1;...;Personal income (thousands of dollars) ;Thousands of dollars;210283;224268;242387;267359;301284;333252;352422;411806;463020;517932;608723;673421;751701;794679;800590;795326;816655;835675;853490;910086;978998;1020593;1074891;1147945;1190171;1196530;1261035;1298759;1349503;1413347;1429688;1504880;1555186;1613519;1701610;1777948;1847167;1946048;2052077;2178117;2159287;2201669;2235074;2282435;2271306;2425107;2476464;2575272;2716988;2872877;3031652;3307316;3611725;3638804;3862033
"""10140""";Aberdeen, WA (Micropolitan Statistical Area); ;CAINC1;2;...;Population (persons) 1/;Number of persons;58259;59514;59487;60041;60069;61271;61666;61872;63385;64641;65804;66437;66799;65659;64815;64246;62983;62331;62341;62907;63330;64397;64649;65417;65991;66644;67273;67764;68022;67466;67265;67075;67896;68264;69065;69775;70423;71256;71827;72027;72468;72845;72356;71752;71011;70734;70949;71463;72400;73666;74911;75855;76838;77041;77290
"""10140""";Aberdeen, WA (Micropolitan Statistical Area); ;CAINC1;3;...;Per capita personal income (dollars) 2/;Dollars;3609;3768;4075;4453;5016;5439;5715;6656;7305;8012;9251;10136;11253;12103;12352;12379;12966;13407;13691;14467;15459;15848;16627;17548;18035;17954;18745;19166;19839;20949;21255;22436;22905;23636;24638;25481;26230;27311;28570;30240;29796;30224;30890;31810;31985;34285;34905;36036;37527;38999;40470;43601;47004;47232;49968
"""10220""";Ada, OK (Micropolitan Statistical Area); ;CAINC1;1;...;Personal income (thousands of dollars) ;Thousands of dollars;72691;80900;88530;101309;114427;127645;145553;161560;179390;206641;235904;272814;316264;344624;367104;389887;403652;401861;407149;422984;450831;470222;485462;503015;534827;545272;568362;596930;645698;652026;675091;718382;784057;817118;863500;916013;976475;1077531;1137767;1253973;1235073;1297735;1365094;1379455;1384993;1476457;1480795;1502621;1562884;1632762;1716781;1839032;1975233;2035904;2154491
"""10220""";Ada, OK (Micropolitan Statistical Area); ;CAINC1;2;...;Population (persons) 1/;Number of persons;27021;28022;28826;29549;29781;30396;30334;31007;31495;31479;32281;32720;33146;33891;34836;35002;35207;34972;35030;34353;34175;34112;34080;34022;34094;34382;34818;35233;34965;35017;34993;35148;34866;34929;35048;35097;35267;35525;36157;36687;37283;37586;37712;37994;38059;38158;38177;38302;38120;38068;38061;38095;38184;38032;38396
"""10220""";Ada, OK (Micropolitan Statistical Area); ;CAINC1;3;...;Per capita personal income (dollars) 2/;Dollars;2690;2887;3071;3429;3842;4199;4798;5210;5696;6564;7308;8338;9542;10169;10538;11139;11465;11491;11623;12313;13192;13785;14245;14785;15687;15859;16324;16942;18467;18620;19292;20439;22488;23394;24638;26099;27688;30332;31467;34180;33127;34527;36198;36307;36391;38693;38788;39231;40999;42891;45106;48275;51729;53531;56112
"""10300""";Adrian, MI (Micropolitan Statistical Area); ;CAINC1;1;...;Personal income (thousands of dollars) ;Thousands of dollars;301136;318572;332577;384602;441578;463213;513428;571596;643456;709813;796761;846251;910464;935167;993069;1093399;1168219;1219722;1316896;1411931;1505970;1572922;1589350;1687902;1795474;1963792;2020330;2086032;2192103;2320295;2445431;2587730;2641051;2684753;2778369;2840358;2922983;2986249;3012494;3055660;2923597;3045313;3203604;3281976;3240436;3349691;3526321;3629028;3684915;3863269;4003666;4382894;4730579;4777446;5011622
"""10300""";Adrian, MI (Micropolitan Statistical Area); ;CAINC1;2;...;Population (persons) 1/;Number of persons;81134;82045;82919;84040;85693;87335;88044;88392;88747;89937;90594;90094;90483;89163;88207;87665;88203;88262;88737;89425;90687;91753;93198;93669;94419;94790;95662;96271;96953;97585;98565;99069;99626;100293;100704;101216;101367;101715;101657;101169;100250;99676;99543;99352;99298;99360;99155;99456;99511;99255;99794;99325;99100;98280;97520
"""10300""";Adrian, MI (Micropolitan Statistical Area); ;CAINC1;3;...;Per capita personal income (dollars) 2/;Dollars;3712;3883;4011;4576;5153;5304;5831;6467;7250;7892;8795;9393;10062;10488;11258;12472;13245;13819;14840;15789;16606;17143;17053;18020;19016;20717;21119;21668;22610;23777;24810;26120;26510;26769;27589;28062;28836;29359;29634;30204;29163;30552;32183;33034;32633;33713;35564;36489;37030;38923;40119;44127;47735;48611;51391
